id,mac,nodo,disparo,fecha
61519974,42-24-00-AE-D8-16,F8-D9-B8-00-93-E0,promo2_video.php,"2021-12-31 23:02:15"
61519975,B0-C1-9E-74-26-59,F8-D9-B8-0D-8A-E0,index.php,"2021-12-31 23:02:16"
61519976,B0-C1-9E-74-26-59,F8-D9-B8-0D-8A-E0,index.php,"2021-12-31 23:02:17"
61519977,B0-C1-9E-74-26-59,F8-D9-B8-0D-8A-E0,index.php,"2021-12-31 23:02:18"
61519978,04-79-70-4D-67-21,F8-D9-B8-0D-88-20,promo2_imagen.php,"2021-12-31 23:02:23"
61519979,40-B0-FA-8D-01-19,F8-D9-B8-19-3A-40,index.php,"2021-12-31 23:02:25"
61519980,A8-5B-78-87-CE-1C,00-0C-43-26-89-1F,cultura5_video.php,"2021-12-31 23:02:28"
61519981,40-CD-7A-77-C7-E4,F8-D9-B8-19-3A-80,conceder.php,"2021-12-31 23:02:33"
61519982,AC-5A-14-FB-3C-CC,F8-D9-B8-0D-87-40,conceder.php,"2021-12-31 23:02:34"
61519983,AE-96-32-32-90-6F,F8-D9-B8-0D-89-00,conceder.php,"2021-12-31 23:02:43"
61519984,02-45-9A-2A-B4-67,00-0C-43-26-86-D5,conceder.php,"2021-12-31 23:02:48"
61519985,7A-1A-BC-48-6D-95,F8-D9-B8-00-A3-00,index.php,"2021-12-31 23:02:48"
61519986,6C-F7-84-A6-7B-86,F8-D9-B8-0D-8A-60,index.php,"2021-12-31 23:02:50"
61519987,6C-F7-84-A6-7B-86,F8-D9-B8-0D-8A-60,index.php,"2021-12-31 23:02:50"
61519988,88-29-9C-D3-D4-91,00-0C-43-26-88-7C,seg6_video.php,"2021-12-31 23:02:50"
61519989,CA-77-AF-E0-1E-B5,F8-D9-B8-0D-88-80,conceder.php,"2021-12-31 23:03:02"
61519990,D2-3C-96-1D-A9-18,F8-D9-B8-00-93-E0,index.php,"2021-12-31 23:03:02"
61519991,04-79-70-4D-67-21,F8-D9-B8-0D-88-20,conceder.php,"2021-12-31 23:03:10"
61519992,80-5A-04-BC-67-13,F8-D9-B8-0D-88-60,index.php,"2021-12-31 23:03:12"
61519993,62-7E-36-7C-EF-91,00-0C-43-26-81-78,conceder.php,"2021-12-31 23:03:22"
61519994,88-29-9C-D3-D4-91,00-0C-43-26-88-7C,seg6_imagen.php,"2021-12-31 23:03:22"
